"","gender","age","statereside","hhincome","education","maritalstatus","citizenus","working","probvote","Vote24Harris","Vote24Trump","Vote24Other","white","ContactsHarris","ContactsTrump","income","presvote"
"1896","Female",43,"26 Michigan","14 75,000 to 99,999",14,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",0,100,0,"1 Yes",30,70,14,"Trump"
"1897","Female",54,"37 North Carolina","14 75,000 to 99,999",14,"1 Married (spouse lives with me)","1 Yes","0 No","100",100,0,0,"1 Yes",66,34,14,"Harris"
"1898","Male",39,"37 North Carolina","14 75,000 to 99,999",13,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",NA,NA,NA,"1 Yes",0,100,14,NA
"1899","Male",74,"12 Florida","7 20,000 to 24,999",14,"6 Never married","1 Yes","0 No","100",NA,NA,NA,"1 Yes",80,20,7,NA
"1900","Female",43,"37 North Carolina","9 30,000 to 34,999",9,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",0,100,0,"1 Yes",0,100,9,"Trump"
"1901","Female",39,"48 Texas","15 100,000 to 149,999",13,"1 Married (spouse lives with me)","1 Yes","1 Yes","5",0,0,100,"1 Yes",40,50,15,"Other"
"1902","Female",48,"13 Georgia","15 100,000 to 149,999",14,"6 Never married","1 Yes","1 Yes","100",80,20,0,"1 Yes",40,60,15,"Harris"
"1903","Male",27,"13 Georgia","10 35,000 to 39,999",9,"6 Never married","1 Yes","1 Yes","100",100,NA,NA,"0 No",50,50,10,"Harris"
"1904","Female",31,"5 Arkansas","9 30,000 to 34,999",9,"5 Widowed","1 Yes","0 No","8",0,100,0,"1 Yes",0,100,9,"Trump"
"1905","Male",76,"40 Oklahoma","9 30,000 to 34,999",10,"1 Married (spouse lives with me)","1 Yes","0 No","100",NA,100,NA,"1 Yes",5,95,9,"Trump"
"1906","Female",34,"55 Wisconsin","10 35,000 to 39,999",9,"6 Never married","1 Yes","1 Yes","100",100,NA,NA,"1 Yes",NA,NA,10,"Harris"
"1907","Female",68,"17 Illinois","15 100,000 to 149,999",14,"1 Married (spouse lives with me)","1 Yes","0 No","100",100,0,0,"1 Yes",75,25,15,"Harris"
"1908","Female",59,"55 Wisconsin","5 12,500 to 14,999",9,"4 Divorced","1 Yes","0 No","90",80,0,20,"1 Yes",50,50,5,"Harris"
"1909","Female",72,"55 Wisconsin","10 35,000 to 39,999",9,"5 Widowed","1 Yes","0 No","100",NA,NA,NA,"1 Yes",85,15,10,NA
"1910","Female",41,"48 Texas","15 100,000 to 149,999",13,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",50,50,NA,"1 Yes",50,50,15,"Trump"
"1911","Male",62,"29 Missouri","15 100,000 to 149,999",10,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",50,50,NA,"1 Yes",70,30,15,"Trump"
"1912","Female",35,"27 Minnesota","6 15,000 to 19,999",10,"4 Divorced","1 Yes","1 Yes","100",100,NA,NA,"1 Yes",75,25,6,"Harris"
"1913","Male",83,"27 Minnesota","12 50,000 to 59,999",14,"1 Married (spouse lives with me)","1 Yes","0 No","100",100,NA,NA,"1 Yes",70,20,12,"Harris"
"1914","Female",47,"48 Texas","7 20,000 to 24,999",5,"1 Married (spouse lives with me)","1 Yes","1 Yes","0",100,0,0,"1 Yes",NA,NA,7,"Harris"
"1915","Male",72,"48 Texas","13 60,000 to 74,999",13,"1 Married (spouse lives with me)","1 Yes","0 No","97",100,NA,NA,"0 No",100,0,13,"Harris"
"1916","Female",77,"19 Iowa","10 35,000 to 39,999",10,"5 Widowed","1 Yes","0 No","100",NA,NA,NA,"1 Yes",90,1,10,NA
"1917","Female",46,"17 Illinois","13 60,000 to 74,999",10,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",100,NA,NA,"1 Yes",100,0,13,"Harris"
"1918","Female",56,"47 Tennessee","9 30,000 to 34,999",14,"6 Never married","1 Yes","0 No","100",NA,NA,NA,"1 Yes",100,0,9,NA
"1919","Female",77,"40 Oklahoma","6 15,000 to 19,999",10,"4 Divorced","1 Yes","0 No","100",NA,100,NA,"1 Yes",25,75,6,"Trump"
"1920","Female",44,"18 Indiana","15 100,000 to 149,999",13,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",NA,NA,NA,"1 Yes",35,65,15,NA
"1921","Male",80,"17 Illinois","16 150,000 or more",14,"1 Married (spouse lives with me)","1 Yes","0 No","100",100,0,0,"1 Yes",95,5,16,"Harris"
"1922","Male",58,"27 Minnesota","15 100,000 to 149,999",13,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",100,0,NA,"1 Yes",98,2,15,"Harris"
"1923","Male",53,"48 Texas","14 75,000 to 99,999",9,"6 Never married","1 Yes","1 Yes","50",50,50,0,"1 Yes",50,50,14,"Trump"
"1924","Female",45,"17 Illinois","14 75,000 to 99,999",10,"6 Never married","1 Yes","0 No","100",100,0,0,"1 Yes",NA,NA,14,"Harris"
"1925","Female",26,"55 Wisconsin","14 75,000 to 99,999",13,"6 Never married","1 Yes","1 Yes","100",NA,NA,NA,"1 Yes",60,30,14,NA
"1926","Male",58,"1 Alabama","5 12,500 to 14,999",9,"6 Never married","1 Yes","1 Yes","100",NA,NA,NA,"0 No",75,25,5,NA
"1927","Male",50,"17 Illinois","16 150,000 or more",9,"1 Married (spouse lives with me)","1 Yes","1 Yes","0",0,0,100,"1 Yes",70,0,16,"Other"
"1928","Female",35,"31 Nebraska","14 75,000 to 99,999",16,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",100,0,0,"1 Yes",85,5,14,"Harris"
"1929","Male",47,"8 Colorado","16 150,000 or more",13,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",100,NA,NA,"1 Yes",80,20,16,"Harris"
"1930","Male",42,"4 Arizona","14 75,000 to 99,999",15,"1 Married (spouse lives with me)","1 Yes","0 No","100",0,100,0,"1 Yes",15,85,14,"Trump"
"1931","Female",30,"8 Colorado","13 60,000 to 74,999",14,"6 Never married","1 Yes","1 Yes",".a",NA,NA,NA,"1 Yes",NA,NA,13,NA
"1932","Female",68,"4 Arizona","11 40,000 to 49,999",14,"1 Married (spouse lives with me)","1 Yes","0 No","100",NA,NA,NA,"1 Yes",50,50,11,NA
"1933","Female",50,"4 Arizona","16 150,000 or more",14,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",100,0,0,"0 No",100,0,16,"Harris"
"1934","Female",65,"4 Arizona","12 50,000 to 59,999",13,"6 Never married","1 Yes","1 Yes","100",100,0,0,"1 Yes",40,60,12,"Harris"
"1935","Male",57,"49 Utah","15 100,000 to 149,999",13,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",0,99,1,"1 Yes",0,99,15,"Trump"
"1936","Male",63,"56 Wyoming","13 60,000 to 74,999",13,"1 Married (spouse lives with me)","1 Yes","0 No","95",100,0,0,"1 Yes",25,70,13,"Harris"
"1937","Female",69,"4 Arizona","12 50,000 to 59,999",13,"6 Never married","1 Yes","0 No","100",NA,NA,NA,"1 Yes",NA,NA,12,NA
"1938","Female",59,"35 New Mexico","14 75,000 to 99,999",13,"1 Married (spouse lives with me)","1 Yes","0 No","100",NA,NA,NA,"1 Yes",75,25,14,NA
"1939","Female",42,"4 Arizona","6 15,000 to 19,999",10,"6 Never married","1 Yes","1 Yes","100",100,0,0,"1 Yes",50,50,6,"Harris"
"1940","Female",67,"8 Colorado","12 50,000 to 59,999",9,"1 Married (spouse lives with me)","1 Yes","0 No","100",NA,100,NA,"1 Yes",5,95,12,"Trump"
"1941","Female",38,"33 New Hampshire","14 75,000 to 99,999",13,"1 Married (spouse lives with me)","1 Yes","1 Yes","70",100,0,NA,"1 Yes",80,20,14,"Harris"
"1942","Female",63,"8 Colorado","11 40,000 to 49,999",13,"1 Married (spouse lives with me)","1 Yes","0 No","100",NA,NA,NA,"1 Yes",50,50,11,NA
"1943","Female",72,"4 Arizona","13 60,000 to 74,999",10,"1 Married (spouse lives with me)","1 Yes","0 No","100",100,NA,NA,"1 Yes",80,20,13,"Harris"
"1944","Male",54,"4 Arizona","16 150,000 or more",13,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",NA,NA,NA,"1 Yes",80,20,16,NA
"1945","Female",68,"4 Arizona","14 75,000 to 99,999",10,"1 Married (spouse lives with me)","1 Yes","0 No","100",NA,NA,NA,"1 Yes",100,0,14,NA
"1946","Male",49,"6 California","16 150,000 or more",14,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",100,NA,NA,"1 Yes",70,30,16,"Harris"
"1947","Male",75,"53 Washington","10 35,000 to 39,999",12,"5 Widowed","1 Yes","1 Yes","100",0,100,0,"1 Yes",0,100,10,"Trump"
"1948","Female",77,"53 Washington","15 100,000 to 149,999",13,"1 Married (spouse lives with me)","1 Yes","0 No","100",NA,NA,NA,"1 Yes",85,15,15,NA
"1949","Male",44,"48 Texas","16 150,000 or more",13,"1 Married (spouse lives with me)","1 Yes","0 No","100",NA,100,NA,"1 Yes",0,100,16,"Trump"
"1950","Male",60,"6 California","16 150,000 or more",13,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",NA,NA,NA,"0 No",50,50,16,NA
"1951","Male",35,"6 California","14 75,000 to 99,999",11,"2 Married (spouse lives elsewhere)","1 Yes","1 Yes","100",NA,NA,NA,"1 Yes",50,50,14,NA
"1952","Male",33,"6 California","16 150,000 or more",13,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",NA,NA,NA,"1 Yes",80,20,16,NA
"1953","Female",56,"6 California","16 150,000 or more",13,"4 Divorced","1 Yes","0 No","0",0,0,100,"0 No",100,0,16,"Other"
"1954","Male",65,"6 California","8 25,000 to 2,999",13,"1 Married (spouse lives with me)","1 Yes","1 Yes","0",100,0,0,"0 No",50,48,8,"Harris"
"1955","Male",43,"6 California","15 100,000 to 149,999",13,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",100,0,0,"1 Yes",80,10,15,"Harris"
"1956","Female",40,"6 California","14 75,000 to 99,999",12,"4 Divorced","1 Yes","1 Yes","100",0,100,0,"1 Yes",NA,NA,14,"Trump"
"1957","Female",80,"6 California","14 75,000 to 99,999",13,"1 Married (spouse lives with me)","1 Yes","0 No",".a",NA,NA,NA,"1 Yes",NA,NA,14,NA
"1958","Female",39,"6 California","16 150,000 or more",14,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",100,0,0,"1 Yes",90,9,16,"Harris"
"1959","Male",55,"6 California","9 30,000 to 34,999",10,"6 Never married","1 Yes","0 No","100",NA,NA,NA,"1 Yes",0,100,9,NA
"1960","Male",43,"53 Washington","16 150,000 or more",13,"6 Never married","1 Yes","1 Yes","100",100,0,NA,"1 Yes",100,0,16,"Harris"
"1961","Female",41,"6 California","14 75,000 to 99,999",14,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",NA,NA,NA,"1 Yes",100,0,14,NA
"1962","Female",40,"41 Oregon","12 50,000 to 59,999",12,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",NA,100,NA,"1 Yes",10,90,12,"Trump"
"1963","Male",48,"6 California","16 150,000 or more",10,"6 Never married","1 Yes","1 Yes","100",100,NA,NA,"1 Yes",75,20,16,"Harris"
"1964","Male",49,"55 Wisconsin","3 7,500 to 9,999",10,"6 Never married","1 Yes","0 No","0",0,100,0,"1 Yes",60,40,3,"Trump"
"1965","Male",27,"6 California","16 150,000 or more",15,"6 Never married","1 Yes","1 Yes","100",NA,NA,NA,"0 No",70,30,16,NA
"1966","Female",76,"6 California","16 150,000 or more",14,"1 Married (spouse lives with me)","1 Yes","0 No","90",50,50,NA,"1 Yes",100,0,16,"Trump"
"1967","Male",69,"48 Texas","12 50,000 to 59,999",10,"1 Married (spouse lives with me)","1 Yes","1 Yes","80",80,20,NA,"1 Yes",60,40,12,"Harris"
"1968","Male",21,"19 Iowa","16 150,000 or more",9,"6 Never married","1 Yes","0 No","99",NA,100,NA,"1 Yes",10,90,16,"Trump"
"1969","Female",41,"42 Pennsylvania","13 60,000 to 74,999",7,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",100,NA,NA,"1 Yes",50,50,13,"Harris"
"1970","Female",25,"13 Georgia","3 7,500 to 9,999",10,"6 Never married","1 Yes","0 No","90",0,100,0,"0 No",0,100,3,"Trump"
"1971","Male",52,"32 Nevada","15 100,000 to 149,999",8,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",0,100,0,"1 Yes",0,100,15,"Trump"
"1972","Male",28,"32 Nevada","15 100,000 to 149,999",9,"6 Never married","1 Yes","1 Yes","100",0,100,0,"1 Yes",0,100,15,"Trump"
"1973","Female",24,"13 Georgia","13 60,000 to 74,999",13,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",NA,NA,NA,"1 Yes",0,100,13,NA
"1974","Female",39,"55 Wisconsin","11 40,000 to 49,999",13,"6 Never married","1 Yes","1 Yes","100",NA,NA,NA,"1 Yes",100,0,11,NA
"1975","Female",24,"21 Kentucky","3 7,500 to 9,999",9,"6 Never married","1 Yes","1 Yes","0",50,50,0,"1 Yes",NA,NA,3,"Trump"
"1976","Female",78,"6 California","10 35,000 to 39,999",10,"4 Divorced","1 Yes","0 No","100",NA,NA,NA,"1 Yes",0,100,10,NA
"1977","Male",47,"48 Texas","15 100,000 to 149,999",13,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",NA,100,NA,"1 Yes",10,90,15,"Trump"
"1978","Female",73,"1 Alabama","12 50,000 to 59,999",16,"1 Married (spouse lives with me)","1 Yes","0 No","100",10,90,0,"1 Yes",20,80,12,"Trump"
"1979","Male",47,"26 Michigan","15 100,000 to 149,999",13,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",NA,NA,NA,"1 Yes",20,80,15,NA
"1980","Male",57,"12 Florida","11 40,000 to 49,999",13,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",NA,NA,100,"1 Yes",0,50,11,"Other"
"1981","Male",65,"26 Michigan","14 75,000 to 99,999",10,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",0,100,0,"1 Yes",30,70,14,"Trump"
"1982","Female",58,"48 Texas","13 60,000 to 74,999",10,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",NA,NA,NA,"0 No",80,10,13,NA
"1983","Male",22,"51 Virginia","8 25,000 to 2,999",10,"6 Never married","1 Yes","0 No","0",0,100,NA,"0 No",NA,NA,8,"Trump"
"1984","Female",54,"47 Tennessee","10 35,000 to 39,999",8,"5 Widowed","1 Yes","0 No","100",NA,NA,NA,"1 Yes",10,80,10,NA
"1985","Female",66,"12 Florida","7 20,000 to 24,999",10,"1 Married (spouse lives with me)","1 Yes","0 No","100",0,100,0,"1 Yes",5,95,7,"Trump"
"1986","Male",61,"13 Georgia","9 30,000 to 34,999",11,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",NA,NA,NA,"0 No",20,10,9,NA
"1987","Female",49,"55 Wisconsin","14 75,000 to 99,999",10,"6 Never married","1 Yes","0 No","80",20,80,0,"1 Yes",75,25,14,"Trump"
"1988","Male",59,"20 Kansas","4 10,000 to 12,499",10,"1 Married (spouse lives with me)","1 Yes","0 No","50",0,50,50,"1 Yes",50,50,4,"Trump"
"1989","Female",70,"26 Michigan","14 75,000 to 99,999",10,"1 Married (spouse lives with me)","1 Yes","0 No","100",NA,NA,NA,"1 Yes",50,50,14,NA
"1990","Male",51,"6 California","16 150,000 or more",10,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",30,70,NA,"1 Yes",40,60,16,"Trump"
"1991","Male",67,"34 New Jersey","14 75,000 to 99,999",9,"1 Married (spouse lives with me)","1 Yes","1 Yes","50",0,100,NA,"1 Yes",20,80,14,"Trump"
"1992","Female",23,"51 Virginia","12 50,000 to 59,999",13,"6 Never married","1 Yes","1 Yes","100",100,0,NA,"1 Yes",99,1,12,"Harris"
"1993","Female",43,"42 Pennsylvania","11 40,000 to 49,999",10,"1 Married (spouse lives with me)","1 Yes","0 No","0",100,0,0,"1 Yes",25,75,11,"Harris"
"1994","Female",60,"12 Florida","4 10,000 to 12,499",9,"4 Divorced","1 Yes","0 No","100",100,0,0,"0 No",100,0,4,"Harris"
"1995","Male",27,"37 North Carolina","8 25,000 to 2,999",11,"6 Never married","1 Yes","1 Yes","0",0,100,0,"1 Yes",NA,NA,8,"Trump"
"1996","Male",87,"18 Indiana","15 100,000 to 149,999",13,"1 Married (spouse lives with me)","1 Yes","0 No","100",NA,NA,NA,"1 Yes",50,50,15,NA
"1997","Female",31,"37 North Carolina","11 40,000 to 49,999",10,"6 Never married","1 Yes","1 Yes","89",50,50,0,"0 No",80,20,11,"Trump"
"1998","Female",56,"13 Georgia","14 75,000 to 99,999",14,"1 Married (spouse lives with me)","1 Yes","0 No","100",100,0,0,"1 Yes",95,5,14,"Harris"
"1999","Female",69,"12 Florida","13 60,000 to 74,999",10,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",NA,NA,NA,"1 Yes",55,45,13,NA
"2000","Female",37,"42 Pennsylvania","15 100,000 to 149,999",10,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",90,10,NA,"1 Yes",50,50,15,"Harris"
"2001","Male",33,"36 New York","13 60,000 to 74,999",13,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",99,0,1,"1 Yes",50,50,13,"Harris"
"2002","Female",56,"42 Pennsylvania","10 35,000 to 39,999",10,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",0,100,0,"1 Yes",0,100,10,"Trump"
"2003","Female",61,"26 Michigan","14 75,000 to 99,999",13,"1 Married (spouse lives with me)","1 Yes","0 No","100",NA,NA,NA,"1 Yes",80,10,14,NA
"2004","Female",23,"34 New Jersey","1 Less than $5,000",14,"6 Never married","1 Yes","1 Yes","100",NA,NA,NA,"1 Yes",1,18,1,NA
"2005","Male",30,"42 Pennsylvania","14 75,000 to 99,999",9,"6 Never married","1 Yes","1 Yes","95",50,45,5,"1 Yes",55,35,14,"Harris"
"2006","Female",38,"36 New York","15 100,000 to 149,999",15,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",100,0,0,"1 Yes",90,10,15,"Harris"
"2007","Male",77,"25 Massachusetts","16 150,000 or more",15,"1 Married (spouse lives with me)","1 Yes","0 No","100",100,NA,NA,"1 Yes",100,0,16,"Harris"
"2008","Male",44,"42 Pennsylvania","15 100,000 to 149,999",13,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",100,NA,NA,"1 Yes",75,25,15,"Harris"
"2009","Male",56,"13 Georgia","16 150,000 or more",14,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",NA,NA,NA,"1 Yes",75,20,16,NA
"2010","Female",46,"26 Michigan","8 25,000 to 2,999",12,"2 Married (spouse lives elsewhere)","1 Yes","1 Yes","100",NA,NA,NA,"1 Yes",35,60,8,NA
"2011","Male",30,"51 Virginia","11 40,000 to 49,999",14,"6 Never married","1 Yes","1 Yes","100",100,0,0,"1 Yes",50,50,11,"Harris"
"2012","Female",50,"13 Georgia","11 40,000 to 49,999",10,"6 Never married","1 Yes","1 Yes","50",20,80,NA,"1 Yes",20,80,11,"Trump"
"2013","Male",40,"26 Michigan","1 Less than $5,000",7,"4 Divorced","1 Yes","1 Yes","0",0,100,0,"1 Yes",NA,NA,1,"Trump"
"2014","Male",51,"9 Connecticut","14 75,000 to 99,999",13,"6 Never married","1 Yes","1 Yes","100",100,NA,NA,"0 No",70,30,14,"Harris"
"2015","Female",48,"34 New Jersey","14 75,000 to 99,999",14,"6 Never married","1 Yes","1 Yes","100",100,0,NA,"1 Yes",90,10,14,"Harris"
"2016","Female",46,"26 Michigan","16 150,000 or more",16,"1 Married (spouse lives with me)","1 Yes","1 Yes","95",0,100,0,"1 Yes",50,50,16,"Trump"
"2017","Male",78,"24 Maryland","16 150,000 or more",14,"1 Married (spouse lives with me)","1 Yes","0 No","100",NA,NA,NA,"1 Yes",100,0,16,NA
"2018","Male",63,"36 New York","7 20,000 to 24,999",13,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",100,NA,NA,"1 Yes",100,0,7,"Harris"
"2019","Female",28,"4 Arizona","13 60,000 to 74,999",11,"6 Never married","1 Yes","1 Yes","0",50,50,0,"1 Yes",0,100,13,"Trump"
"2020","Male",51,"36 New York","15 100,000 to 149,999",14,"4 Divorced","1 Yes","1 Yes","100",NA,100,NA,"1 Yes",0,100,15,"Trump"
"2021","Female",43,"12 Florida","16 150,000 or more",13,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",NA,NA,NA,"0 No",80,20,16,NA
"2022","Female",50,"37 North Carolina","15 100,000 to 149,999",14,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",0,100,0,"1 Yes",NA,NA,15,"Trump"
"2023","Male",27,"21 Kentucky","7 20,000 to 24,999",10,"6 Never married","1 Yes","1 Yes","100",0,50,50,"1 Yes",0,95,7,"Trump"
"2024","Female",39,"42 Pennsylvania","10 35,000 to 39,999",13,"5 Widowed","1 Yes","1 Yes","0",NA,100,NA,"1 Yes",0,100,10,"Trump"
"2025","Female",65,"21 Kentucky","1 Less than $5,000",6,"4 Divorced","1 Yes","0 No","100",100,0,0,"0 No",100,0,1,"Harris"
"2026","Female",82,"13 Georgia","7 20,000 to 24,999",9,"1 Married (spouse lives with me)","1 Yes","0 No","100",100,0,NA,"1 Yes",75,25,7,"Harris"
"2027","Male",27,"37 North Carolina","15 100,000 to 149,999",13,"1 Married (spouse lives with me)","1 Yes","1 Yes","99",0,100,0,"1 Yes",20,80,15,"Trump"
"2028","Female",24,"36 New York","7 20,000 to 24,999",13,"6 Never married","1 Yes","0 No","50",50,50,NA,"0 No",85,15,7,"Trump"
"2029","Female",43,"12 Florida","9 30,000 to 34,999",10,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",NA,NA,NA,"0 No",45,45,9,NA
"2030","Female",74,"26 Michigan","13 60,000 to 74,999",11,"1 Married (spouse lives with me)","1 Yes","0 No","100",100,0,0,"1 Yes",100,0,13,"Harris"
"2031","Male",64,"42 Pennsylvania","7 20,000 to 24,999",10,"4 Divorced","1 Yes","0 No","100",100,0,NA,"1 Yes",80,20,7,"Harris"
"2032","Female",30,"42 Pennsylvania","1 Less than $5,000",12,"6 Never married","1 Yes","0 No","5",0,100,0,"0 No",0,100,1,"Trump"
"2033","Female",94,"13 Georgia","14 75,000 to 99,999",12,"5 Widowed","1 Yes","0 No","100",NA,NA,NA,"1 Yes",59,41,14,NA
"2034","Female",32,"37 North Carolina","12 50,000 to 59,999",9,"1 Married (spouse lives with me)","1 Yes","1 Yes","0",0,0,100,"0 No",0,0,12,"Other"
"2035","Female",37,"45 South Carolina","13 60,000 to 74,999",10,"1 Married (spouse lives with me)","1 Yes","1 Yes","0",50,50,0,"0 No",100,0,13,"Trump"
"2036","Female",50,"13 Georgia","1 Less than $5,000",11,"6 Never married","1 Yes","0 No","100",NA,NA,NA,"0 No",50,0,1,NA
"2037","Male",41,"25 Massachusetts","12 50,000 to 59,999",10,"4 Divorced","1 Yes","0 No","50",50,50,NA,"0 No",50,50,12,"Trump"
"2038","Female",48,"26 Michigan","8 25,000 to 2,999",14,"6 Never married","1 Yes","1 Yes","99",100,NA,NA,"1 Yes",100,0,8,"Harris"
"2039","Female",69,"50 Vermont","12 50,000 to 59,999",12,"1 Married (spouse lives with me)","1 Yes","0 No","100",0,100,0,"1 Yes",25,75,12,"Trump"
"2040","Male",58,"51 Virginia","14 75,000 to 99,999",13,"6 Never married","1 Yes","1 Yes","100",NA,100,NA,"1 Yes",38,60,14,"Trump"
"2041","Male",34,"50 Vermont","9 30,000 to 34,999",9,"6 Never married","1 Yes","1 Yes","100",NA,NA,NA,"1 Yes",100,0,9,NA
"2042","Female",52,"26 Michigan","16 150,000 or more",15,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",NA,100,NA,"1 Yes",40,40,16,"Trump"
"2043","Female",64,"25 Massachusetts","15 100,000 to 149,999",13,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",NA,NA,NA,"0 No",95,5,15,NA
"2044","Female",68,"10 Delaware","11 40,000 to 49,999",14,"5 Widowed","1 Yes","0 No","100",100,NA,NA,"1 Yes",50,50,11,"Harris"
"2045","Female",29,"13 Georgia","15 100,000 to 149,999",13,"6 Never married","1 Yes","1 Yes","100",NA,NA,NA,"1 Yes",40,60,15,NA
"2046","Female",27,"18 Indiana","1 Less than $5,000",8,"6 Never married","1 Yes","0 No","100",100,0,0,"0 No",100,0,1,"Harris"
"2047","Male",72,"42 Pennsylvania","14 75,000 to 99,999",12,"4 Divorced","1 Yes","0 No","100",100,NA,NA,"1 Yes",95,5,14,"Harris"
"2048","Female",65,"39 Ohio","16 150,000 or more",16,"4 Divorced","1 Yes","1 Yes","100",NA,100,NA,"1 Yes",50,50,16,"Trump"
"2049","Male",72,"33 New Hampshire","13 60,000 to 74,999",14,"1 Married (spouse lives with me)","1 Yes","0 No","100",100,NA,NA,"0 No",100,0,13,"Harris"
"2050","Female",52,"26 Michigan","15 100,000 to 149,999",11,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",NA,100,NA,"1 Yes",10,80,15,"Trump"
"2051","Male",60,"13 Georgia","15 100,000 to 149,999",10,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",50,0,50,"1 Yes",50,50,15,"Harris"
"2052","Male",52,"42 Pennsylvania","14 75,000 to 99,999",10,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",100,0,0,"0 No",90,10,14,"Harris"
"2053","Female",70,"42 Pennsylvania","10 35,000 to 39,999",10,"4 Divorced","1 Yes","1 Yes","100",NA,NA,NA,"1 Yes",90,10,10,NA
"2054","Female",24,"26 Michigan","1 Less than $5,000",7,"6 Never married","1 Yes","0 No","75",50,50,NA,"1 Yes",NA,NA,1,"Trump"
"2055","Male",80,"42 Pennsylvania","13 60,000 to 74,999",13,"1 Married (spouse lives with me)","1 Yes","0 No","100",100,NA,NA,"1 Yes",100,0,13,"Harris"
"2056","Female",50,"12 Florida","16 150,000 or more",13,"4 Divorced","1 Yes","1 Yes","19",NA,NA,100,"1 Yes",50,50,16,"Other"
"2057","Female",33,"36 New York","14 75,000 to 99,999",14,"1 Married (spouse lives with me)","1 Yes","0 No","99",0,100,0,"1 Yes",10,90,14,"Trump"
"2058","Male",41,"24 Maryland","16 150,000 or more",14,"6 Never married","1 Yes","1 Yes","100",100,0,0,"0 No",60,40,16,"Harris"
"2059","Male",45,"37 North Carolina","14 75,000 to 99,999",13,"6 Never married","1 Yes","1 Yes","99",0,0,100,"1 Yes",90,10,14,"Other"
"2060","Female",70,"24 Maryland","13 60,000 to 74,999",9,"4 Divorced","1 Yes","0 No","100",NA,NA,NA,"0 No",79,21,13,NA
"2061","Male",58,"37 North Carolina","14 75,000 to 99,999",14,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",0,0,100,"1 Yes",30,70,14,"Other"
"2062","Female",33,"13 Georgia","1 Less than $5,000",6,"3 Separated","1 Yes","0 No","0",1,98,1,"1 Yes",1,98,1,"Trump"
"2063","Female",59,"13 Georgia","13 60,000 to 74,999",14,"6 Never married","1 Yes","0 No","100",NA,NA,NA,"1 Yes",75,25,13,NA
"2064","Female",43,"26 Michigan","9 30,000 to 34,999",13,"6 Never married","1 Yes","1 Yes","100",100,0,0,"1 Yes",95,5,9,"Harris"
"2065","Male",72,"13 Georgia","15 100,000 to 149,999",13,"1 Married (spouse lives with me)","1 Yes","0 No","100",NA,NA,NA,"1 Yes",5,95,15,NA
"2066","Female",42,"18 Indiana","16 150,000 or more",14,"1 Married (spouse lives with me)","1 Yes","0 No","100",0,0,100,"1 Yes",10,90,16,"Other"
"2067","Female",35,"17 Illinois","15 100,000 to 149,999",13,"1 Married (spouse lives with me)","1 Yes","1 Yes","0",30,70,NA,"0 No",45,55,15,"Trump"
