"","gender","age","statereside","hhincome","education","maritalstatus","citizenus","working","probvote","Vote24Harris","Vote24Trump","Vote24Other","white","ContactsHarris","ContactsTrump","income","presvote"
"100","Female",41,"13 Georgia","12 50,000 to 59,999",9,"6 Never married","1 Yes","1 Yes","100",100,NA,NA,"0 No",NA,NA,12,"Harris"
"101","Male",59,"13 Georgia","14 75,000 to 99,999",13,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",NA,NA,NA,"1 Yes",50,50,14,NA
"102","Female",69,"13 Georgia","11 40,000 to 49,999",14,"1 Married (spouse lives with me)","1 Yes","0 No","100",NA,NA,NA,"0 No",100,0,11,NA
"103","Male",66,"13 Georgia","13 60,000 to 74,999",9,"4 Divorced","1 Yes","0 No","0",100,0,0,"1 Yes",0,100,13,"Harris"
"104","Male",46,"13 Georgia","15 100,000 to 149,999",9,"6 Never married","1 Yes","1 Yes","0",0,100,0,"1 Yes",25,50,15,"Trump"
"105","Female",59,"13 Georgia","15 100,000 to 149,999",10,"6 Never married","1 Yes","1 Yes","100",100,NA,NA,"0 No",100,0,15,"Harris"
"106","Female",50,"13 Georgia","11 40,000 to 49,999",11,"1 Married (spouse lives with me)","1 Yes","1 Yes","50",50,50,NA,"0 No",50,50,11,"Trump"
"107","Female",69,"13 Georgia","2 5,000 to 7,499",11,"1 Married (spouse lives with me)","1 Yes","0 No","100",NA,NA,NA,"1 Yes",0,100,2,NA
"108","Male",46,"13 Georgia","15 100,000 to 149,999",8,"1 Married (spouse lives with me)","1 Yes","0 No","100",0,100,0,"1 Yes",0,100,15,"Trump"
"109","Female",63,"13 Georgia","12 50,000 to 59,999",9,"6 Never married","1 Yes","0 No","100",NA,100,NA,"1 Yes",5,95,12,"Trump"
"110","Male",43,"13 Georgia","15 100,000 to 149,999",14,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",100,0,0,"1 Yes",85,15,15,"Harris"
"111","Female",59,"13 Georgia","11 40,000 to 49,999",10,"4 Divorced","1 Yes","1 Yes","100",100,NA,NA,"0 No",100,0,11,"Harris"
"112","Male",82,"13 Georgia","11 40,000 to 49,999",9,"1 Married (spouse lives with me)","1 Yes","0 No",".a",NA,NA,NA,"1 Yes",NA,NA,11,NA
"113","Male",64,"13 Georgia","16 150,000 or more",13,"1 Married (spouse lives with me)","1 Yes","0 No","100",NA,NA,NA,"1 Yes",50,50,16,NA
"114","Male",78,"13 Georgia","11 40,000 to 49,999",12,"1 Married (spouse lives with me)","1 Yes","0 No","100",NA,NA,NA,"1 Yes",5,95,11,NA
"115","Female",59,"13 Georgia","12 50,000 to 59,999",9,"5 Widowed","1 Yes","1 Yes","100",NA,NA,NA,"0 No",90,10,12,NA
"116","Male",74,"13 Georgia","7 20,000 to 24,999",12,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",0,100,0,"1 Yes",25,75,7,"Trump"
"117","Female",55,"13 Georgia","10 35,000 to 39,999",13,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",0,100,0,"1 Yes",0,100,10,"Trump"
"118","Female",83,"13 Georgia","10 35,000 to 39,999",12,"1 Married (spouse lives with me)","1 Yes","0 No","100",NA,NA,NA,"1 Yes",2,98,10,NA
"119","Female",45,"13 Georgia","11 40,000 to 49,999",9,"6 Never married","1 Yes","1 Yes","60",0,100,0,"0 No",20,50,11,"Trump"
"120","Female",66,"13 Georgia","6 15,000 to 19,999",11,"4 Divorced","1 Yes","0 No","100",0,100,0,"1 Yes",50,50,6,"Trump"
"121","Female",67,"13 Georgia","3 7,500 to 9,999",7,"2 Married (spouse lives elsewhere)","1 Yes","0 No","100",0,100,0,"1 Yes",20,80,3,"Trump"
"122","Female",57,"12 Florida","16 150,000 or more",13,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",NA,100,NA,"1 Yes",5,95,16,"Trump"
"123","Female",65,"12 Florida","10 35,000 to 39,999",11,"4 Divorced","1 Yes","0 No","100",0,100,0,"1 Yes",30,70,10,"Trump"
"124","Female",38,"12 Florida","11 40,000 to 49,999",12,"4 Divorced","1 Yes","1 Yes","100",0,100,0,"0 No",20,80,11,"Trump"
"125","Male",68,"12 Florida","15 100,000 to 149,999",10,"1 Married (spouse lives with me)","1 Yes","0 No","100",NA,100,NA,"1 Yes",NA,NA,15,"Trump"
"126","Male",74,"12 Florida","15 100,000 to 149,999",14,"1 Married (spouse lives with me)","1 Yes","0 No","100",0,100,0,"1 Yes",0,100,15,"Trump"
"127","Male",34,"12 Florida","1 Less than $5,000",7,"1 Married (spouse lives with me)","1 Yes","1 Yes",".e",40,50,10,"1 Yes",NA,NA,1,"Trump"
"128","Male",60,"12 Florida","13 60,000 to 74,999",10,"1 Married (spouse lives with me)","1 Yes","0 No","100",NA,NA,NA,"1 Yes",100,0,13,NA
"129","Male",42,"12 Florida","13 60,000 to 74,999",10,"6 Never married","1 Yes","0 No","100",NA,NA,NA,"1 Yes",0,100,13,NA
"130","Female",58,"12 Florida","14 75,000 to 99,999",13,"6 Never married","1 Yes","1 Yes","100",NA,100,NA,"1 Yes",40,60,14,"Trump"
"131","Male",63,"12 Florida","15 100,000 to 149,999",13,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",0,100,0,"1 Yes",50,50,15,"Trump"
"132","Female",69,"12 Florida","11 40,000 to 49,999",9,"4 Divorced","1 Yes","1 Yes","100",NA,100,NA,"1 Yes",0,100,11,"Trump"
"133","Male",49,"12 Florida","16 150,000 or more",15,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",100,0,0,"1 Yes",80,20,16,"Harris"
"134","Female",42,"12 Florida","9 30,000 to 34,999",12,"2 Married (spouse lives elsewhere)","1 Yes","1 Yes","100",45,10,45,"0 No",50,50,9,"Harris"
"135","Male",57,"17 Illinois","16 150,000 or more",13,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",100,NA,NA,"1 Yes",90,10,16,"Harris"
"136","Female",50,"12 Florida","16 150,000 or more",10,"1 Married (spouse lives with me)","1 Yes","1 Yes",".a",NA,NA,NA,"0 No",NA,NA,16,NA
"137","Female",68,"13 Georgia","14 75,000 to 99,999",10,"4 Divorced","1 Yes","0 No","100",0,100,0,"1 Yes",45,55,14,"Trump"
"138","Female",49,"12 Florida","10 35,000 to 39,999",13,"6 Never married","1 Yes","1 Yes","100",100,0,0,"0 No",30,67,10,"Harris"
"139","Female",75,"12 Florida","14 75,000 to 99,999",14,"1 Married (spouse lives with me)","1 Yes","0 No","100",NA,100,NA,"1 Yes",75,25,14,"Trump"
"140","Female",60,"12 Florida","10 35,000 to 39,999",9,"4 Divorced","1 Yes","1 Yes","100",NA,NA,NA,"1 Yes",40,60,10,NA
"141","Female",78,"12 Florida","10 35,000 to 39,999",14,"5 Widowed","1 Yes","0 No","100",100,0,0,"1 Yes",53,47,10,"Harris"
"142","Female",74,"1 Alabama","11 40,000 to 49,999",9,"1 Married (spouse lives with me)","1 Yes","0 No","10",NA,100,NA,"1 Yes",1,99,11,"Trump"
"143","Male",82,"1 Alabama","16 150,000 or more",14,"1 Married (spouse lives with me)","1 Yes","0 No","100",50,50,NA,"1 Yes",40,60,16,"Trump"
"144","Female",82,"12 Florida","16 150,000 or more",10,"1 Married (spouse lives with me)","1 Yes","0 No","100",NA,NA,NA,"1 Yes",25,73,16,NA
"145","Male",73,"47 Tennessee","14 75,000 to 99,999",15,"1 Married (spouse lives with me)","1 Yes","0 No","100",NA,NA,NA,"1 Yes",70,30,14,NA
"146","Female",53,"1 Alabama","10 35,000 to 39,999",9,"6 Never married","1 Yes","1 Yes","100",100,0,NA,"0 No",100,0,10,"Harris"
"147","Female",40,"13 Georgia","15 100,000 to 149,999",14,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",90,0,10,"1 Yes",40,60,15,"Harris"
"148","Female",47,"51 Virginia","12 50,000 to 59,999",10,"4 Divorced","1 Yes","1 Yes","50",0,100,0,"1 Yes",50,50,12,"Trump"
"149","Female",44,"21 Kentucky","15 100,000 to 149,999",13,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",100,0,0,"1 Yes",90,10,15,"Harris"
"150","Male",59,"37 North Carolina","16 150,000 or more",14,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",100,0,0,"1 Yes",90,10,16,"Harris"
"151","Female",40,"21 Kentucky","15 100,000 to 149,999",14,"6 Never married","1 Yes","1 Yes","100",100,0,0,"1 Yes",95,5,15,"Harris"
"152","Male",67,"21 Kentucky","13 60,000 to 74,999",16,"1 Married (spouse lives with me)","1 Yes","1 Yes","99",100,0,0,"1 Yes",75,25,13,"Harris"
"153","Male",36,"39 Ohio","15 100,000 to 149,999",13,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",100,0,0,"1 Yes",60,40,15,"Harris"
"154","Male",77,"39 Ohio","16 150,000 or more",14,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",NA,NA,NA,"1 Yes",39,60,16,NA
"155","Male",37,"39 Ohio","4 10,000 to 12,499",9,"2 Married (spouse lives elsewhere)","1 Yes","0 No","100",0,100,0,"1 Yes",0,100,4,"Trump"
"156","Female",41,"26 Michigan","16 150,000 or more",13,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",100,NA,NA,"0 No",90,10,16,"Harris"
"157","Male",61,"39 Ohio","9 30,000 to 34,999",9,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",100,NA,NA,"1 Yes",40,60,9,"Harris"
"158","Male",66,"18 Indiana","14 75,000 to 99,999",9,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",NA,NA,NA,"1 Yes",10,90,14,NA
