"","player","season","team","goals_z","xg_z","crosses_z","boxtouches_z","passes_z","progpasses_z","takeons_z","progruns_z","tackles_z","interceptions_z","clearances_z","blocks_z","aerials_z","fouls_z","fouled_z","nsxg_z"
"1235","Mikkel Beckmann",2010,"Denmark",-0.4,-0.63,-0.52,-0.56,-1.26,-1.04,-0.08,-0.7,-0.86,-0.74,-0.74,-0.48,-0.77,-1.09,-1.01,-0.81
"1236","Nicklas Bendtner",2010,"Denmark",1.91,1.22,-0.52,2.99,-0.25,-0.7,0.48,0.64,-0.86,-0.82,-0.58,-0.48,2.22,1.73,2.72,0.71
"1237","Per Kroldrup",2010,"Denmark",-0.4,-0.4,-0.52,-0.38,-0.72,0.11,-0.08,0.41,-0.86,-0.82,0.08,1.48,-0.17,-0.69,-1.01,-0.77
"1238","Simon Kjaer",2010,"Denmark",-0.4,-0.4,-0.52,0,-0.63,-0.64,-0.65,-0.03,-0.65,0.11,1.71,1.29,0.43,0.12,-0.18,-0.81
"1239","Simon Poulsen",2010,"Denmark",-0.4,-0.36,-0.52,-0.56,1.13,1.34,1.05,-0.03,2.42,0.67,1.55,-0.16,-0.17,0.93,-0.18,-0.77
"1240","Soren Larsen",2010,"Denmark",-0.4,-0.22,-0.52,0.37,-1.38,-1.04,-0.65,-0.93,-0.86,-0.82,-0.58,-0.48,1.62,-0.28,-1.01,-0.81
"1241","Thomas Enevoldsen",2010,"Denmark",-0.4,-0.36,-0.52,-0.75,-1.3,-1.11,-0.65,-0.7,-0.86,-0.82,-0.74,-0.48,-0.77,-1.09,-1.01,-0.81
"1242","Thomas Kahlenberg",2010,"Denmark",-0.4,0.15,1.63,0.19,-0.16,-0.64,-0.08,-0.26,0.1,-0.64,0.24,-0.48,-0.17,1.33,-0.18,0.54
"1243","Thomas Sorensen",2010,"Denmark",-0.4,-0.63,-0.52,-0.75,0.08,2.29,-0.65,-0.7,-0.86,-0.82,-0.58,-0.48,-0.77,-1.09,-1.01,-0.81
"1244","Aaron Lennon",2010,"England",-0.4,-0.56,-0.52,0.37,-0.73,-0.76,0.2,0.58,-0.51,-0.23,-0.74,-0.48,-0.77,-1.09,-0.7,0.14
"1245","Ashley Cole",2010,"England",-0.4,-0.63,-0.52,0.23,1.62,1.44,0.63,-0.09,2.82,2.42,0.49,-0.48,-0.32,0.42,-0.08,-0.11
"1246","David James",2010,"England",-0.4,-0.63,-0.52,-0.75,0.08,2,-0.65,-0.76,-0.86,-0.82,-0.62,-0.48,-0.77,-1.09,-1.01,-0.49
"1247","Emile Heskey",2010,"England",-0.4,-0.01,0.02,0.09,-0.82,-0.96,-0.65,-0.59,1.21,-0.82,-0.37,-0.48,2.82,0.12,0.86,0.52
"1248","Frank Lampard",2010,"England",-0.4,2.32,2.17,0.79,2.08,0.52,0.2,0.91,-0.09,0.13,0,-0.48,0.13,-0.49,0.23,1.95
"1249","Gareth Barry",2010,"England",-0.4,-0.04,1.09,-0.33,1.04,0.78,0.63,0.41,1.58,0.89,-0.37,0.61,-0.32,0.12,-0.39,1.12
"1250","Glen Johnson",2010,"England",-0.4,-0.08,0.55,0.37,1.66,1.8,1.47,0.75,2.68,2.36,0.24,1.99,-0.32,2.54,0.23,0.3
"1251","James Milner",2010,"England",-0.4,-0.36,0.55,-0.19,-0.48,-0.35,0.2,-0.26,0.68,1.3,-0.74,-0.48,0.58,0.42,-0.39,0.4
"1252","Jamie Carragher",2010,"England",-0.4,-0.63,-0.52,-0.75,-0.26,-0.4,-0.65,-0.26,-0.17,0.05,0.85,0.61,0.13,-0.18,-1.01,-0.46
"1253","Jermain Defoe",2010,"England",1.33,1.14,-0.52,0.79,-1.15,-1.11,-0.65,-0.93,-0.42,-0.12,-0.74,-0.48,-0.77,-1.09,-0.39,-0.59
"1254","Joe Cole",2010,"England",-0.4,-0.46,-0.52,-0.47,-1.05,-1.01,-0.65,-0.76,-0.86,-0.82,-0.74,-0.48,-0.77,-0.79,-0.39,-0.78
"1255","John Terry",2010,"England",-0.4,0.13,-0.52,0.51,1.8,1.14,-0.22,0.08,-0.53,2.14,1.22,9.34,1.47,0.72,1.17,-0.59
"1256","Ledley King",2010,"England",-0.4,-0.63,-0.52,-0.75,-1.19,-0.96,-0.65,-0.76,-0.86,-0.19,-0.62,-0.48,-0.77,-1.09,-1.01,-0.81
"1257","Matt Upson",2010,"England",1.33,-0.08,-0.52,-0.47,-0.05,-0.14,-0.65,-0.42,-0.53,-0.47,0.12,0.55,0.13,-0.49,-0.39,-0.81
"1258","Robert Green",2010,"England",-0.4,-0.63,-0.52,-0.75,-0.85,0.01,-0.65,-0.93,-0.86,-0.82,-0.62,-0.48,-0.77,-1.09,-1.01,-0.81
"1259","Shaun Wright-Phillips",2010,"England",-0.4,-0.42,-0.52,-0.47,-1.03,-0.91,-0.22,0.08,-0.12,0.41,-0.74,-0.48,-0.32,-0.79,0.55,-0.62
"1260","Steven Gerrard",2010,"England",1.33,0.86,3.24,1.63,1.85,1.34,-0.22,0.91,0.28,3.34,0,1.64,1.47,-0.49,-0.39,3.88
"1261","Wayne Rooney",2010,"England",-0.4,1.76,0.55,2.9,0.2,-0.5,2.32,1.25,-0.51,-0.55,-0.62,0.61,0.13,0.12,0.55,1.66
"1262","Abou Diaby",2010,"France",-0.4,-0.54,0.2,-0.19,0.83,-0.3,3.88,0.86,1.08,2.1,-0.25,-0.48,0.43,4.15,1.89,-0.18
"1263","Alou Diarra",2010,"France",-0.4,-0.63,-0.52,-0.75,-0.7,-0.84,-0.65,-0.93,-0.86,-0.05,-0.58,-0.48,-0.77,-1.09,-0.59,-0.81
"1264","André-Pierre Gignac",2010,"France",-0.4,0.06,-0.52,1.49,-1.12,-0.98,-0.65,-0.7,-0.45,-0.5,-0.74,-0.48,-0.77,1.33,-0.59,-0.64
"1265","Bacary Sagna",2010,"France",-0.4,-0.63,1.63,0.19,1.58,2.7,0.48,1.08,-0.34,3.42,2.37,-0.48,2.82,0.12,0.23,2.15
"1266","Djibril Cissé",2010,"France",-0.4,-0.17,-0.52,-0.19,-1.26,-1.11,-0.65,-0.7,-0.61,-0.82,-0.74,-0.48,-0.17,-1.09,-1.01,-0.81
"1267","Eric Abidal",2010,"France",-0.4,-0.63,-0.52,-0.75,0.45,0.73,-0.65,0.41,1.88,0,1.06,-0.48,-0.17,0.12,0.65,-0.81
"1268","Florent Malouda",2010,"France",1.91,0.62,0.2,0.56,0.15,-0.23,2.75,-0.26,-0.45,-0.82,-0.41,0.28,1.03,-0.28,1.06,1.01
"1269","Franck Ribéry",2010,"France",-0.4,0.25,2.34,1.31,0.55,0.32,4.44,2.64,2.17,1.06,-0.74,-0.48,-0.77,-0.28,3.13,3.8
"1270","Gaël Clichy",2010,"France",-0.4,-0.63,-0.52,-0.75,-0.34,-0.09,0.48,-0.26,-0.61,-0.63,0.57,0.28,-0.17,-1.09,-0.59,-0.81
"1271","Hugo Lloris",2010,"France",-0.4,-0.63,-0.52,-0.75,-0.06,2.23,-0.65,-0.93,-0.86,-0.82,-0.41,-0.48,-0.77,-1.09,-0.59,-0.47
"1272","Jérémy Toulalan",2010,"France",-0.4,-0.45,0.2,-0.38,0.36,0.18,-0.08,-0.7,1.99,3.77,0.4,-0.48,1.03,0.93,-0.18,-0.56
"1273","Nicolas Anelka",2010,"France",-0.4,0.99,-0.52,1.49,-0.77,-0.91,-0.08,-0.48,-0.34,-0.41,-0.74,-0.48,-0.17,-0.28,-1.01,-0.34
"1274","Patrice Evra",2010,"France",-0.4,-0.63,-0.52,-0.56,0.73,1.48,1.62,3.09,0.57,2.21,-0.09,-0.48,-0.77,0.52,0.65,0.08
"1275","Sidney Govou",2010,"France",-0.4,0.57,0.2,0.37,-0.77,-0.91,-0.08,-0.48,-0.45,-0.09,-0.25,0.79,0.43,0.52,0.23,-0.68
"1276","Sébastien Squillaci",2010,"France",-0.4,-0.63,-0.52,-0.75,-0.67,-0.7,-0.65,-0.93,-0.86,-0.44,0.73,-0.48,-0.77,-0.69,-1.01,-0.81
"1277","Thierry Henry",2010,"France",-0.4,0.29,-0.52,0.37,-1.02,-0.7,-0.65,-0.7,-0.61,-0.82,-0.74,-0.48,-0.17,-0.69,-0.18,-0.22
"1278","William Gallas",2010,"France",-0.4,-0.63,-0.52,-0.75,0.64,0.32,-0.65,-0.48,-0.37,1.6,2.04,1.13,1.03,0.52,0.23,-0.81
"1279","Yoann Gourcuff",2010,"France",-0.4,0.02,0.2,-0.75,-0.58,-0.84,-0.65,-0.48,-0.86,-0.82,-0.58,-0.48,-0.17,-0.28,-0.59,0.04
"1280","Arne Friedrich",2010,"Germany",0.59,-0.18,-0.52,0.05,1.08,0.64,-0.4,0.13,1.64,0.99,2.2,0.89,3.33,-0.05,-0.48,-0.81
"1281","Bastian Schweinsteiger",2010,"Germany",-0.4,0.18,0.4,-0.27,3.13,1.02,2.75,0.99,1.07,2.22,-0.11,3.09,0.26,1.33,1.66,1.58
"1282","Cacau",2010,"Germany",0.59,0.16,0.09,0.61,-0.77,-0.94,-0.16,-0.45,-0.42,-0.64,-0.53,-0.48,-0.77,-0.4,-0.3,-0.54
"1283","Dennis Aogo",2010,"Germany",-0.4,-0.63,-0.52,-0.75,-0.78,-0.27,-0.65,-0.83,-0.26,0.3,-0.53,0.16,-0.77,-0.75,-0.65,-0.81
"1284","Hans-Jörg Butt",2010,"Germany",-0.4,-0.63,-0.52,-0.75,-1.25,-0.76,-0.65,-0.93,-0.86,-0.82,-0.74,-0.48,-0.77,-1.09,-1.01,-0.81
"1285","Holger Badstuber",2010,"Germany",-0.4,-0.63,-0.52,-0.75,-0.6,-0.5,-0.65,-0.73,0.43,-0.66,-0.74,-0.48,-0.51,-0.75,-1.01,-0.61
"1286","Jérôme Boateng",2010,"Germany",-0.4,-0.55,0.09,-0.75,-0.08,0.26,-0.4,-0.07,0.9,0.31,0.73,-0.09,-0.25,-0.57,-0.65,0.02
"1287","Lukas Podolski",2010,"Germany",1.58,2.4,0.09,1.17,0.32,-0.12,-0.4,0.99,0.51,1.88,-0.53,-0.48,0,-0.75,0.95,1.06
"1288","Manuel Neuer",2010,"Germany",-0.4,-0.63,-0.52,-0.75,0.04,1.4,-0.65,-0.93,-0.86,-0.82,-0.67,-0.48,-0.77,-1.09,-0.65,-0.54
"1289","Marcell Jansen",2010,"Germany",0.59,-0.36,0.09,-0.51,-0.77,-0.59,-0.16,-0.07,-0.02,-0.37,-0.32,-0.48,-0.51,-0.92,-0.48,-0.37
"1290","Mario Gómez",2010,"Germany",-0.4,-0.2,-0.52,-0.19,-1.27,-1.11,-0.4,-0.73,-0.86,-0.82,-0.74,-0.09,-0.77,-0.92,-0.83,-0.65
"1291","Marko Marin",2010,"Germany",-0.4,-0.39,-0.21,-0.51,-1.35,-1,-0.65,-0.54,-0.86,-0.82,-0.74,-0.48,-0.77,-0.75,-1.01,-0.57
"1292","Mesut Özil",2010,"Germany",0.59,0.42,1.94,1.82,1.33,0.32,0.32,1.37,-0.49,-0.15,-0.67,-0.09,-0.51,-0.57,0.41,2.92
"1293","Miroslav Klose",2010,"Germany",3.55,2.76,-0.52,2.06,-0.74,-0.85,0.32,-0.54,-0.55,-0.61,-0.67,-0.48,0.77,0.81,-0.12,0.28
"1294","Per Mertesacker",2010,"Germany",-0.4,-0.63,-0.52,-0.51,1.5,1.46,-0.65,0.89,0.02,0.64,1.78,3.11,2.56,-0.57,-0.3,-0.68
"1295","Philipp Lahm",2010,"Germany",-0.4,-0.63,0.4,-0.43,2.15,1.98,1.29,2.52,1.24,0.72,0.24,2.37,-0.77,-0.23,-0.3,0.77
"1296","Piotr Trochowski",2010,"Germany",-0.4,-0.53,-0.52,-0.75,-0.88,-0.91,-0.16,-0.16,-0.5,-0.55,-0.67,-0.48,-0.51,-0.75,-1.01,-0.68
"1297","Sami Khedira",2010,"Germany",0.59,0.95,-0.52,1.33,1.54,-0.27,0.08,-0.45,0.61,0.54,0.24,0.05,1.54,0.29,-0.3,0.37
"1298","Thomas Müller",2010,"Germany",4.54,1.87,0.4,1.74,0.39,0.03,1.05,2.04,0.3,-0.07,-0.46,0.23,0.26,-0.23,0.41,2.49
"1299","Toni Kroos",2010,"Germany",-0.4,-0.41,-0.52,-0.59,-1.11,-1,-0.65,-0.73,-0.45,-0.55,-0.67,-0.48,-0.77,-0.92,-0.65,-0.81
"1300","André Ayew",2010,"Ghana",-0.4,-0.02,1.75,1.23,0.45,0.22,1.75,2.5,1.16,-0.25,-0.57,-0.48,-0.13,1.04,-0.35,2.23
"1301","Anthony Annan",2010,"Ghana",-0.4,-0.17,-0.52,-0.55,1.96,0.62,-0.35,0.14,0.83,1.18,0.04,-0.48,0.81,0.19,0.75,-0.43
"1302","Asamoah Gyan",2010,"Ghana",3.26,8.53,-0.52,3.8,0.04,-0.64,0.85,-0.1,-0.62,-0.25,-0.57,-0.48,2.4,0.19,0.31,1.72
"1303","Dominic Adiyiah",2010,"Ghana",-0.4,-0.27,-0.14,-0.55,-1.29,-1.08,-0.65,-0.57,-0.86,-0.82,-0.74,-0.48,-0.77,-1.09,-0.79,-0.63
"1304","Hans Sarpei",2010,"Ghana",-0.4,-0.63,-0.14,-0.75,0.77,1.52,-0.65,-0.22,1.08,0.53,0.13,0.12,-0.45,-0.45,0.75,-0.41
"1305","Isaac Vorsah",2010,"Ghana",-0.4,-0.49,-0.52,-0.25,-0.85,-0.39,-0.65,-0.81,-0.67,-0.15,0.21,0.1,-0.13,-0.24,-0.35,-0.74
"1306","John Mensah",2010,"Ghana",-0.4,-0.31,-0.52,-0.45,-0.32,-0.14,-0.65,-0.93,1.11,0.63,2.03,1.01,0.18,0.4,-0.35,-0.47
"1307","John Pantsil",2010,"Ghana",-0.4,-0.53,1,-0.16,1.58,3.36,-0.35,1.08,0.54,0.38,0.65,2.96,-0.77,-0.24,-0.57,1.05
"1308","Jonathan Mensah",2010,"Ghana",-0.4,0.03,-0.52,-0.35,-0.28,0.04,-0.65,-0.81,0.07,0.46,1.77,2.02,1.45,-0.02,-0.79,-0.81
"1309","Kevin-Prince Boateng",2010,"Ghana",0.82,1.2,-0.14,0.83,0.85,0.11,1.15,1.32,2.5,0.72,-0.31,0.44,-0.77,1.47,0.53,0.62
"1310","Kwadwo Asamoah",2010,"Ghana",-0.4,0.37,1,0.04,0.86,0.22,2.95,0.96,1.03,0.9,-0.39,-0.48,0.5,0.4,1.19,1.74
"1311","Lee Addy",2010,"Ghana",-0.4,-0.63,-0.52,-0.75,-0.84,-0.79,-0.65,-0.93,-0.46,-0.31,0.47,-0.48,-0.77,-0.66,-1.01,-0.63
"1312","Prince Tagoe",2010,"Ghana",-0.4,-0.14,-0.14,0.93,-0.89,-0.79,-0.35,0.37,-0.76,-0.82,-0.31,-0.48,-0.45,1.04,-0.57,0.09
"1313","Quincy Owusu-Abeyie",2010,"Ghana",-0.4,-0.46,-0.52,-0.75,-1.18,-0.97,-0.35,-0.45,-0.86,-0.63,-0.65,-0.48,-0.77,-0.88,-1.01,-0.36
"1314","Richard Kingson",2010,"Ghana",-0.4,-0.63,-0.52,-0.75,-0.13,1.63,-0.65,-0.57,-0.66,-0.66,-0.48,-0.48,-0.77,-1.09,-0.57,-0.63
"1315","Samuel Inkoom",2010,"Ghana",-0.4,-0.61,0.62,-0.55,-0.72,-0.72,-0.35,0.26,-0.02,0.01,-0.48,-0.48,-0.77,0.4,-0.79,0.04
"1316","Stephen Appiah",2010,"Ghana",-0.4,0,-0.14,-0.25,-0.84,-0.86,-0.65,-0.69,-0.66,-0.66,-0.74,-0.48,-0.77,-0.88,-0.79,-0.65
"1317","Sulley Muntari",2010,"Ghana",0.82,-0.12,0.62,-0.25,-0.74,-0.5,-0.65,-0.69,-0.56,-0.38,-0.65,-0.48,-0.77,0.19,-1.01,0.35
"1318","Alexandros Tziolis",2010,"Greece",-0.4,-0.26,-0.52,-0.75,1.72,0.25,-0.08,1.3,0.55,-0.09,0.08,2.31,0.43,-0.28,-0.18,0.63
"1319","Alexandros Tzorvas",2010,"Greece",-0.4,-0.63,-0.52,-0.75,-0.37,1,-0.65,-0.93,-0.86,-0.82,-0.25,-0.48,-0.77,-1.09,-1.01,-0.81
"1320","Angelos Charisteas",2010,"Greece",-0.4,-0.63,-0.52,-0.19,-1.16,-1.04,-0.65,-0.93,-0.86,-0.82,-0.74,-0.48,-0.17,0.12,-0.59,-0.3
"1321","Avraam Papadopoulos",2010,"Greece",-0.4,-0.54,-0.52,-0.56,-0.09,-0.02,-0.65,-0.03,0.33,-0.47,2.53,3.19,2.22,-0.28,0.23,-0.77
"1322","Christos Patsatzoglou",2010,"Greece",-0.4,-0.63,-0.52,-0.75,-0.88,-0.84,-0.08,-0.26,-0.86,-0.79,-0.74,0.7,-0.77,-1.09,-0.59,-0.56
"1323","Dimitris Salpingidis",2010,"Greece",1.91,0.52,0.2,0.75,-0.77,-0.77,-0.08,-0.7,0.26,-0.03,-0.58,-0.48,-0.77,-0.28,-0.18,1.26
"1324","Georgios Karagounis",2010,"Greece",-0.4,-0.12,3.78,-0.19,0.99,0.05,-0.08,2.64,2.39,-0.82,-0.25,-0.48,-0.77,0.12,2.72,3.42
"1325","Georgios Samaras",2010,"Greece",-0.4,1.96,-0.52,1.49,-0.77,-0.98,2.18,1.75,-0.48,-0.5,0.24,-0.48,3.42,1.33,-0.18,-0.3
"1326","Giourkas Seitaridis",2010,"Greece",-0.4,-0.63,-0.52,-0.56,-0.53,-0.16,0.48,0.86,0.64,-0.22,-0.41,-0.48,-0.77,-0.69,-0.59,-0.81
"1327","Kostas Katsouranis",2010,"Greece",-0.4,0.15,0.2,0.37,0.64,-0.09,-0.65,0.41,-0.09,-0.11,0.24,-0.48,-0.17,-0.69,-0.18,1.64
"1328","Loukas Vyntra",2010,"Greece",-0.4,-0.63,0.91,-0.75,0.8,2.02,-0.65,-0.26,-0.44,-0.11,0.4,4.66,-0.17,0.12,-0.18,0.88
"1329","Nikos Spyropoulos",2010,"Greece",-0.4,-0.59,-0.52,-0.75,-1.28,-0.84,-0.65,-0.48,-0.83,-0.81,-0.41,-0.48,-0.77,-1.09,-1.01,-0.34
"1330","Pantelis Kapetanos",2010,"Greece",-0.4,-0.08,-0.52,-0.38,-1.28,-1.11,-0.65,-0.93,-0.86,-0.82,-0.74,-0.48,-0.77,-0.69,-1.01,-0.09
"1331","Sokratis Papastathopoulos",2010,"Greece",-0.4,-0.63,-0.52,-0.75,-1.09,-0.98,-0.65,-0.48,0.26,-0.79,-0.25,-0.48,-0.17,0.52,0.23,-0.43
"1332","Sotirios Kyrgiakos",2010,"Greece",-0.4,0.29,-0.52,1.31,-0.63,-0.64,-0.65,-0.26,-0.86,-0.41,1.22,-0.48,1.62,0.52,-0.18,-0.81
"1333","Sotiris Ninis",2010,"Greece",-0.4,-0.59,-0.52,-0.75,-0.93,-0.84,-0.65,-0.7,-0.81,-0.81,-0.74,-0.48,-0.77,0.12,-0.18,-0.39
"1334","Theofanis Gekas",2010,"Greece",-0.4,1.91,0.2,1.87,-0.93,-1.04,-0.65,-0.93,-0.86,-0.43,-0.58,-0.48,-0.17,-1.09,-1.01,-0.56
"1335","Vangelis Moras",2010,"Greece",-0.4,-0.63,-0.52,-0.75,-1.33,-1.04,-0.08,-0.7,-0.81,-0.82,0.24,-0.27,-0.77,-1.09,-1.01,-0.81
"1336","Vasilis Torosidis",2010,"Greece",1.91,0.8,0.2,0.37,0.34,0.25,-0.08,1.3,0.26,-0.82,1.22,-0.48,1.03,0.52,-0.18,-0.81
"1337","Amado Guevara",2010,"Honduras",-0.4,-0.31,0.2,-0.56,-0.2,0.11,0.48,-0.48,-0.5,-0.36,-0.09,0.31,0.43,1.33,-0.59,-0.18
"1338","Carlos Pavón",2010,"Honduras",-0.4,-0.49,-0.52,-0.75,-1.3,-1.11,-0.65,-0.93,-0.86,-0.73,-0.58,-0.48,-0.17,-1.09,-0.18,-0.81
"1339","Danilo Turcios",2010,"Honduras",-0.4,-0.63,0.2,-0.75,-0.84,-0.7,-0.65,-0.48,-0.86,-0.71,-0.25,-0.48,-0.77,-1.09,-1.01,-0.47
"1340","David Suazo",2010,"Honduras",-0.4,-0.08,0.2,-0.19,-0.7,-0.91,-0.08,-0.03,-0.86,-0.82,-0.74,-0.48,-0.17,1.33,0.23,0.21
"1341","Edgar Álvarez",2010,"Honduras",-0.4,0.11,0.91,0,-0.48,-0.36,2.18,1.53,-0.74,-0.72,-0.74,-0.48,-0.77,-0.69,0.23,0.63
"1342","Emilio Izaguirre",2010,"Honduras",-0.4,-0.63,-0.52,-0.75,-0.2,0.25,-0.08,-0.26,-0.1,-0.12,1.71,-0.04,-0.17,0.52,-0.18,-0.81
"1343","Georgie Welcome",2010,"Honduras",-0.4,0.2,-0.52,0.37,-1.07,-1.04,-0.65,-0.26,-0.86,-0.82,-0.41,-0.48,-0.77,0.12,0.23,-0.3
"1344","Hendry Thomas",2010,"Honduras",-0.4,-0.63,-0.52,-0.75,-0.72,-0.77,-0.08,-0.7,-0.49,-0.41,-0.09,1.49,-0.77,0.52,0.23,-0.81
"1345","Jerry Palacios",2010,"Honduras",-0.4,-0.26,-0.52,0,-1.12,-0.84,-0.08,-0.7,-0.86,-0.82,-0.74,-0.48,-0.77,-1.09,0.23,-0.81
"1346","Mauricio Sabillón",2010,"Honduras",-0.4,-0.63,-0.52,-0.75,-0.58,-0.23,-0.65,-0.7,-0.21,-0.51,-0.58,-0.48,-0.77,0.12,-0.59,-0.81
"1347","Maynor Figueroa",2010,"Honduras",-0.4,-0.54,0.2,-0.75,0.27,1.2,-0.65,0.41,-0.36,-0.42,3.68,0.31,2.22,0.12,1.48,-0.47
"1348","Noel Valladares",2010,"Honduras",-0.4,-0.63,-0.52,-0.75,-0.09,1.82,-0.65,-0.7,-0.86,-0.73,-0.41,-0.48,-0.77,-1.09,-1.01,-0.81
"1349","Osman Chávez",2010,"Honduras",-0.4,-0.63,-0.52,-0.75,-0.41,-0.3,-0.65,-0.7,-0.61,0.11,1.71,1.21,-0.17,0.12,-0.59,-0.81
"1350","Ramón Núñez",2010,"Honduras",-0.4,0.25,-0.52,-0.56,-0.46,-0.7,-0.08,1.3,-0.73,-0.62,-0.74,-0.48,-0.77,-0.69,0.65,-0.81
"1351","Roger Espinoza",2010,"Honduras",-0.4,-0.54,-0.52,-0.38,-0.72,-0.84,-0.08,-0.48,-0.42,-0.82,-0.41,-0.48,0.43,0.52,-0.59,-0.68
"1352","Sergio Mendoza",2010,"Honduras",-0.4,-0.63,0.2,-0.75,0.03,1.48,0.48,-0.26,-0.47,-0.14,0.08,0.31,-0.77,-0.69,-0.59,-0.51
"1353","Víctor Bernárdez",2010,"Honduras",-0.4,-0.4,-0.52,-0.75,-0.79,-0.7,-0.65,-0.7,-0.34,-0.62,1.22,0.33,1.62,-0.69,-1.01,-0.81
"1354","Walter Martínez",2010,"Honduras",-0.4,-0.63,-0.52,-0.75,-0.63,-0.3,-0.65,-0.03,-0.72,-0.61,-0.74,-0.48,-0.77,0.12,-0.18,-0.77
"1355","Wilson Palacios",2010,"Honduras",-0.4,-0.63,-0.52,-0.75,0.31,-0.3,1.62,0.19,0.27,-0.11,0.9,0.31,1.03,2.54,0.23,-0.39
"1356","Alberto Gilardino",2010,"Italy",-0.4,-0.03,-0.52,0.19,-0.79,-0.84,-0.65,-0.93,-0.86,-0.4,-0.41,-0.48,1.62,0.12,0.65,-0.3
"1357","Andrea Pirlo",2010,"Italy",-0.4,-0.63,-0.52,-0.56,-0.86,-0.77,-0.08,0.41,-0.86,-0.82,-0.74,-0.48,-0.77,-1.09,-0.59,-0.81
"1358","Antonio Di Natale",2010,"Italy",1.91,0.89,3.06,0.93,-0.44,-0.36,-0.65,-0.7,0.21,-0.82,-0.74,-0.48,-0.77,-0.28,0.23,1.68
"1359","Christian Maggio",2010,"Italy",-0.4,-0.63,-0.52,-0.75,-0.88,-0.43,-0.65,-0.93,-0.44,-0.82,-0.58,-0.48,-0.77,-0.69,-0.18,-0.51
"1360","Claudio Marchisio",2010,"Italy",-0.4,-0.54,0.2,-0.38,-0.27,-0.36,-0.65,-0.7,-0.86,-0.4,-0.74,-0.48,-0.17,-0.28,-1.01,-0.01
"1361","Daniele De Rossi",2010,"Italy",1.91,0.57,0.2,-0.38,2.44,2.16,1.05,0.64,2.69,3.2,0.08,-0.48,-0.77,-0.28,0.23,0.21
"1362","Domenico Criscito",2010,"Italy",-0.4,-0.54,0.2,-0.38,1.41,2.29,1.62,0.86,1.26,1.19,-0.09,-0.48,1.03,-0.28,0.65,-0.13
"1363","Fabio Cannavaro",2010,"Italy",-0.4,-0.63,-0.52,-0.19,1.27,0.73,-0.08,-0.7,3.89,1.61,0.24,0.82,2.22,0.52,1.48,-0.43
"1364","Fabio Quagliarella",2010,"Italy",1.91,0.39,-0.52,-0.19,-1,-0.91,-0.08,-0.03,-0.04,-0.49,-0.74,-0.48,-0.17,-1.09,-0.18,0.12
"1365","Federico Marchetti",2010,"Italy",-0.4,-0.63,-0.52,-0.75,-0.34,0.93,-0.65,-0.93,-0.86,-0.82,-0.58,-0.48,-0.77,-1.09,-1.01,-0.81
"1366","Gennaro Gattuso",2010,"Italy",-0.4,-0.63,-0.52,-0.75,-1.16,-1.04,-0.65,-0.93,0.37,-0.16,-0.74,-0.48,-0.17,-0.28,-0.18,-0.81
"1367","Giampaolo Pazzini",2010,"Italy",-0.4,-0.63,-0.52,-0.38,-1.35,-1.11,-0.65,-0.93,-0.86,-0.82,-0.74,-0.48,-0.17,-1.09,-1.01,-0.81
"1368","Gianluca Zambrotta",2010,"Italy",-0.4,-0.08,0.2,0,1.88,2.09,1.05,-0.26,2.05,0.57,0.57,-0.48,1.03,0.12,1.06,0.12
"1369","Gianluigi Buffon",2010,"Italy",-0.4,-0.63,-0.52,-0.75,-1.14,-0.77,-0.65,-0.93,-0.86,-0.82,-0.74,-0.48,-0.77,-1.09,-1.01,-0.81
"1370","Giorgio Chiellini",2010,"Italy",-0.4,0.39,-0.52,0.37,1.39,1.75,-0.08,0.41,1.69,2.99,1.55,0.82,5.81,2.14,2.31,-0.64
"1371","Mauro Camoranesi",2010,"Italy",-0.4,-0.31,0.91,0,-0.67,-0.43,0.48,-0.26,-0.2,-0.82,-0.74,-0.48,-0.77,0.12,-0.18,0.12
"1372","Riccardo Montolivo",2010,"Italy",-0.4,0.8,0.2,0.19,1.41,1.07,-0.08,0.64,3.75,0.97,-0.58,-0.48,0.43,0.52,1.89,-0.05
"1373","Simone Pepe",2010,"Italy",-0.4,0.29,3.06,0.93,0.59,0.18,-0.08,0.19,1.66,1.52,-0.74,-0.48,-0.17,0.12,0.65,1.77
"1374","Vincenzo Iaquinta",2010,"Italy",1.91,4.5,0.2,3.18,-0.7,-0.84,0.48,-0.03,0.33,-0.82,0.08,0.82,1.62,0.93,0.23,0.8
"1375","Abdul Kader Keita",2010,"Ivory Coast",-0.4,-0.08,0.91,1.31,-0.34,-0.43,-0.65,1.08,-0.47,-0.67,-0.74,-0.48,-0.77,0.52,-0.59,-0.01
"1376","Arthur Boka",2010,"Ivory Coast",-0.4,-0.54,3.78,-0.75,-0.13,0.66,-0.08,0.64,-0.23,0.18,-0.74,-0.48,-0.77,-0.69,0.65,2.78
"1377","Aruna Dindane",2010,"Ivory Coast",-0.4,-0.12,1.63,0.75,0.08,-0.7,-0.65,2.2,-0.41,0.1,-0.58,-0.48,-0.77,0.93,2.31,0.12
"1378","Boubacar Barry",2010,"Ivory Coast",-0.4,-0.63,-0.52,-0.75,-0.09,2.16,-0.65,-0.93,-0.86,-0.82,-0.74,-0.48,-0.77,-1.09,-1.01,-0.81
